vreg1	V(vo)
1.203999999999983e+001	3.335187e+000
1.205999999999983e+001	3.335240e+000
1.207999999999983e+001	3.335292e+000
1.209999999999983e+001	3.335345e+000
1.211999999999983e+001	3.335397e+000
1.213999999999983e+001	3.335449e+000
1.215999999999983e+001	3.335502e+000
1.217999999999983e+001	3.335554e+000
1.219999999999983e+001	3.335606e+000
1.221999999999983e+001	3.335659e+000
1.223999999999982e+001	3.335711e+000
1.225999999999982e+001	3.335763e+000
1.227999999999982e+001	3.335816e+000
1.229999999999982e+001	3.335868e+000
1.231999999999982e+001	3.335920e+000
1.233999999999982e+001	3.335973e+000
1.235999999999982e+001	3.336025e+000
1.237999999999982e+001	3.336077e+000
1.239999999999982e+001	3.336129e+000
1.241999999999982e+001	3.336182e+000
1.243999999999982e+001	3.336234e+000
1.245999999999982e+001	3.336286e+000
1.247999999999982e+001	3.336338e+000
1.249999999999982e+001	3.336390e+000
1.251999999999982e+001	3.336443e+000
1.253999999999982e+001	3.336495e+000
1.255999999999982e+001	3.336547e+000
1.257999999999982e+001	3.336599e+000
1.259999999999982e+001	3.336652e+000
1.261999999999982e+001	3.336704e+000
1.263999999999982e+001	3.336756e+000
1.265999999999982e+001	3.336808e+000
1.267999999999982e+001	3.336860e+000
1.269999999999982e+001	3.336912e+000
1.271999999999981e+001	3.336964e+000
1.273999999999981e+001	3.337016e+000
1.275999999999981e+001	3.337069e+000
1.277999999999981e+001	3.337121e+000
1.279999999999981e+001	3.337173e+000
1.281999999999981e+001	3.337225e+000
1.283999999999981e+001	3.337277e+000
1.285999999999981e+001	3.337329e+000
1.287999999999981e+001	3.337381e+000
1.289999999999981e+001	3.337433e+000
1.291999999999981e+001	3.337485e+000
1.293999999999981e+001	3.337537e+000
1.295999999999981e+001	3.337589e+000
1.297999999999981e+001	3.337641e+000
1.299999999999981e+001	3.337693e+000
1.301999999999981e+001	3.337745e+000
1.303999999999981e+001	3.337797e+000
1.305999999999981e+001	3.337849e+000
1.307999999999981e+001	3.337901e+000
1.309999999999981e+001	3.337953e+000
1.311999999999981e+001	3.338005e+000
1.313999999999981e+001	3.338057e+000
1.315999999999981e+001	3.338109e+000
1.317999999999980e+001	3.338161e+000
1.319999999999980e+001	3.338213e+000
1.321999999999980e+001	3.338265e+000
1.323999999999980e+001	3.338316e+000
1.325999999999980e+001	3.338368e+000
1.327999999999980e+001	3.338420e+000
1.329999999999980e+001	3.338472e+000
1.331999999999980e+001	3.338524e+000
1.333999999999980e+001	3.338576e+000
1.335999999999980e+001	3.338628e+000
1.337999999999980e+001	3.338680e+000
1.339999999999980e+001	3.338732e+000
1.341999999999980e+001	3.338784e+000
1.343999999999980e+001	3.338835e+000
1.345999999999980e+001	3.338887e+000
1.347999999999980e+001	3.338939e+000
1.349999999999980e+001	3.338991e+000
1.351999999999980e+001	3.339042e+000
1.353999999999980e+001	3.339094e+000
1.355999999999980e+001	3.339146e+000
1.357999999999980e+001	3.339198e+000
1.359999999999980e+001	3.339250e+000
1.361999999999980e+001	3.339301e+000
1.363999999999980e+001	3.339353e+000
1.365999999999979e+001	3.339405e+000
1.367999999999979e+001	3.339457e+000
1.369999999999979e+001	3.339509e+000
1.371999999999979e+001	3.339560e+000
1.373999999999979e+001	3.339612e+000
1.375999999999979e+001	3.339664e+000
1.377999999999979e+001	3.339715e+000
1.379999999999979e+001	3.339767e+000
1.381999999999979e+001	3.339819e+000
1.383999999999979e+001	3.339870e+000
1.385999999999979e+001	3.339922e+000
1.387999999999979e+001	3.339974e+000
1.389999999999979e+001	3.340025e+000
1.391999999999979e+001	3.340077e+000
1.393999999999979e+001	3.340129e+000
1.395999999999979e+001	3.340180e+000
1.397999999999979e+001	3.340232e+000
1.399999999999979e+001	3.340284e+000
1.401999999999979e+001	3.340335e+000
1.403999999999979e+001	3.340387e+000
1.405999999999979e+001	3.340439e+000
1.407999999999979e+001	3.340490e+000
1.409999999999979e+001	3.340542e+000
1.411999999999978e+001	3.340593e+000
1.413999999999978e+001	3.340645e+000
1.415999999999978e+001	3.340697e+000
1.417999999999978e+001	3.340748e+000
1.419999999999978e+001	3.340800e+000
1.421999999999978e+001	3.340851e+000
1.423999999999978e+001	3.340903e+000
1.425999999999978e+001	3.340954e+000
1.427999999999978e+001	3.341006e+000
1.429999999999978e+001	3.341058e+000
1.431999999999978e+001	3.341109e+000
1.433999999999978e+001	3.341161e+000
1.435999999999978e+001	3.341212e+000
1.437999999999978e+001	3.341264e+000
1.439999999999978e+001	3.341315e+000
1.441999999999978e+001	3.341367e+000
1.443999999999978e+001	3.341418e+000
1.445999999999978e+001	3.341470e+000
1.447999999999978e+001	3.341521e+000
1.449999999999978e+001	3.341573e+000
1.451999999999978e+001	3.341624e+000
1.453999999999978e+001	3.341676e+000
1.455999999999978e+001	3.341727e+000
1.457999999999977e+001	3.341778e+000
1.459999999999977e+001	3.341830e+000
1.461999999999977e+001	3.341881e+000
1.463999999999977e+001	3.341933e+000
1.465999999999977e+001	3.341984e+000
1.467999999999977e+001	3.342036e+000
1.469999999999977e+001	3.342087e+000
1.471999999999977e+001	3.342138e+000
1.473999999999977e+001	3.342190e+000
1.475999999999977e+001	3.342241e+000
1.477999999999977e+001	3.342293e+000
1.479999999999977e+001	3.342344e+000
1.481999999999977e+001	3.342395e+000
1.483999999999977e+001	3.342447e+000
1.485999999999977e+001	3.342498e+000
1.487999999999977e+001	3.342549e+000
1.489999999999977e+001	3.342601e+000
1.491999999999977e+001	3.342652e+000
1.493999999999977e+001	3.342703e+000
